Case Description,Issue Type
"Hi

I would like to purchase swim pass. However i didnt find the option in the
apps activesg. Image as attached. Could you advise?


Thanks
",Enquiries
"I can’t update my profile with mobile number 85888688. It says it’s used.
I have to use another mobile number 88126686.


Sent from my iPhone",Membership
"For last 2 days i had trouble booking for slot for badminton at 7am. 
After verifying that I am not a Robot, either all slots were taken or one of the slots that i chose were taken up.
There is also the problem of time's up/session out and I need to lock out and lock in again.  What is the time limit?",Booking
"
Dear Yuan Ting,Great! Thxs for helping.
Cheers
Kelvin
Sent from Yahoo Mail on Android 
 
  On Mon, 22 Feb 2021 at 11:39, Active SG Helpdesk wrote:   
Re: [CASE:210700] Re: ISSUES FOR SWIMSAFER ASSESSMENT CODE #NS77HJ72Hi Kelvin, 
The Swimsafer team has informed us that they have already amended the stage from stage 2 to stage 6. 

Kindly verify so that we can proceed to close this case. 
Thank you!

Warmest Regards,
Yuan Ting

ActiveSG Technical Helpdesk
iAPPS Pte Ltd
3 Fusionopolis Way, #13-24/25
Symbiosis, Singapore 138633
Helpline: 65941388
 
 

From: kelvinkhy@yahoo.com.sg
Date: 19/02/2021 04:18pm
To: helpme@iappsasia.com, Sport_SwimSafer@sport.gov.sg
Subject: Re: [CASE:210700] Re: ISSUES FOR SWIMSAFER ASSESSMENT CODE #NS77HJ72

Dear Azimah,
Thankyou for pointing out the mistake.Too long didnt submit any test.
It should be stage 6.
Will you able to help to change to stage 6.
The assessor is able to confirm that we done stage 6.

Sorry for any inconvenience.
Thxs greatly.RgdsKelvin

Sent from Yahoo Mail on Android

On Thu, 18 Feb 2021 at 12:42, Active SG Helpdesk wrote: Hi Kevin,

Kindly ignore my previous reply.
Can we check if the assessment for stage 6 or 2? Based on the screenshot all student are going for stage 2. As the Theory and practical stage are not matched, result will not reflect in the portal. You may either get student to do stage 2 online test or request to amend all student stage to stage 6.

Thank you.
With Best Regards,
Azimah

ActiveSG Technical Helpdesk
iAPPS Pte Ltd
3 Fusionopolis Way, #13-24/25
Symbiosis, Singapore 138633
Helpline: 65941388
 
 

From: kelvinkhy@yahoo.com.sg
Date: 18-02-2021 09:51am
To: Sport_SwimSafer@sport.gov.sg, teachSSA@swimming.org.sg, helpme@iappsasia.com
Subject: [CASE:210700] Re: ISSUES FOR SWIMSAFER ASSESSMENT CODE #NS77HJ72

All,Anyone can help to resolve this asap?
Thxs greatly!Rgds
Kelvin
Sent from Yahoo Mail on Android

On Tue, 9 Feb 2021 at 23:18, hee yeow kwok wrote: 
Dear Team,
Appreciate your soonest reply.
Rgds
kelvin
On Thursday, 4 February 2021, 10:01:30 pm SGT, hee yeow kwok  wrote:

 

Dear Team,
pls update.parents is asking.
rgdskelvinOn Wednesday, 27 January 2021, 08:26:12 am SGT, hee yeow kwok  wrote:

 
Dear Swimsafer Team,
appreciate your response.
Thanks
rgdsKelvin
On Tuesday, 5 January 2021, 02:20:16 pm SGT, Teach SSA  wrote:


Hi SwimSafer Team,

 

We have received an enquiry from Kelvin Regarding his SwimSafer Test.

 

Please Follow up with him.

 

Thank You,

Josephine.

 



 

From: hee yeow kwok  
Sent: Monday, 4 January 2021 10:19 pm
To: Teach SSA 
Subject: ISSUES FOR SWIMSAFER ASSESSMENT CODE #NS77HJ72

 

Hi Teach SSA,

  

Students have done theory for stage 6 buy system not updated.

  

kindly assist.

  

thanks greatly!

  

rgds

  

kelvin

94761443

  




  ",SwimSafer
"

Dear Helpdesk,Missed out 1 student for stage 4, bronze test on 16mar at Tpy.Possible to add 1 more? Thxs 
Sorry for the troubles.
ThxsRgds
Kelvin
Sent from Yahoo Mail on Android",SwimSafer
"Dear iAPPS,

We would like to request IPA file for ActiveSG POS and ActiveSG Stripped POS app, in order to whitelist the app to be used on CMs/ACMs' GoMAX devices.

Reason to request due to CMs/ACMs unable to access ActiveSG POS and ActiveSG Stripped POS app as when they launch the app but no response.

Upon checked with GoMAX team and been advised by following:
The error falls under GoMAX restriction; trusting enterprise apps not allowed.
In order for the app to be trusted on GoMAX, Agency requestor should raise SR Publish Mobile Application.
When GoMAX deploy apps from Airwatch, we sign the app from enterprise end. The app developer should provide a working IPA file for the supported iOS/iPAD OS device models.

Seeking your assistance please.

[cid:image005.jpg@01D70E7D.8462B040]



Thanks.

Best Regards,

Hen Yee (VIP Support Engineer)
Performance Technology Division | DCE Office
Hen_Yee_LOW_from.AFMPCCW@sport.gov.sg | DID 5513 | 3 Stadium Drive, Singapore 397630


[Sport Singapore]


CONFIDENTIALITY NOTICE: This email may contain privileged and confidential information. If you have been sent or have received this email by mistake, please notify the sender and delete the email immediately. You must not copy, use or disseminate the information contained in this email. Nothing in this email is intended to nor shall it constitute any offer or acceptance resulting in binding agreement, unless expressly stated otherwise.




",Others
"Dear Sir
I booked for swimming  At Heartbeat Bedok for 3/3 at 10 am. When I reached
the payment stage, the system asked for 6 digit code. I cannot remember my
6 digit number. So how can I  apply?
I wanted to re- book but system said ‘ sorry , one of the slots that you
selected has already been booked’. Does it mean I can go on Wednesday to
swim?
Regards
Serene
",Membership
"Dear Carissa
Thank you for yr prompt reply.
I went to the Active sg website but could not locate e- wallet to reset
pin. Hope you can assist. Thanks
Serene

On Mon, 1 Mar 2021 at 10:43 AM, Active SG Helpdesk 
wrote:

> Hi
>
> Thank you for writing to the ActiveSG technical helpdesk.
>
> To reset your eWallet PIN, please follow the steps below.
>
> Using Website Only: Login to account > e-Wallet > Change PIN > Reset PIN
> (kindly ignore the portion that ask you to input your current pin)
>
> A new PIN will be sent to the registered email address in your ActiveSG
> account.
>
> ‘ sorry , one of the slots that you selected has already been booked’
> could be because the slot is currently still in your shopping cart.
>
> Hope this clarifies!
>
> For technical-related issues, contact us again at +65 65941388 (Mon to
> Sun, 7am to 10pm) or email: helpme@iappsasia.com. For other enquiries,
> click here. https://members.myactivesg.com/feedback.
>
> Thank you.
>
> With Best Regards,
>
> Carissa
>
> ActiveSG Technical Helpdesk
>
> iAPPS Pte Ltd
>
> 3 Fusionopolis Way, #13
> 
> -24/25
>
> Symbiosis, Singapore 138633
>
> Helpline: 65941388
>
>
> ------------------------------
>
> *From:* sgcc103@gmail.com
> *Date:* 01-03-2021 10:37am
> *To:* helpme@iappsasia.com
> *Subject:* [CASE:213013] Active wallet 6 digit no.
> Dear Sir
> I booked for swimming  At Heartbeat Bedok for 3/3 at 10 am. When I reached
> the payment stage, the system asked for 6 digit code. I cannot remember my
> 6 digit number. So how can I  apply?
> I wanted to re- book but system said ‘ sorry , one of the slots that you
> selected has already been booked’. Does it mean I can go on Wednesday to
> swim?
> Regards
> Serene
>
",Membership
"Dear Carissa N Rachel
Thank you I successfully re- set my pin . Thanks!


On Mon, 1 Mar 2021 at 11:05 AM, Active SG Helpdesk 
wrote:

> Hi Serene
>
> Thank you for writing in to the ActiveSG technical helpdesk.
>
> We seek your understanding that we at the technical helpdesk will be
> unable to reset your Ewallet PIN for you. To reset your Ewallet PIN, please
> ensure that your ActiveSG account has a email address tagged to it.
> Afterwhich, please follow the steps below:
>
> 1. Mobile Website: Log in via members.myactivesg.com > MENU (top right) >
> Click on arrow beside 'Profile' > Ewallet > Change PIN > Reset PIN
> 2. Computer Website: Log in via members.myactivesg.com > Ewallet (left) >
> Change PIN > Reset PIN
>
> After clicking on the reset PIN button, a Ewallet PIN will be sent to your
> email address for future transactions.
>
> Thank you.
>
> For technical-related issues, contact us again at +65 65941388 (Mon to
> Sun, 7am to 10pm) or email: helpme@iappsasia.com. For other enquiries,
> click here. https://members.myactivesg.com/feedback.
>
> Best Regards,
> Rachel
>
> *ActiveSG Technical Helpdesk*
> iAPPS Pte Ltd
> 3 Fusionopolis Way, #13
> 
> -24/25
> Symbiosis, Singapore 138633
> Helpline: 65941388
>
>
> ------------------------------
>
> *From:* sgcc103@gmail.com
> *Date:* 01/03/2021 10:57am
> *To:* helpme@iappsasia.com
> *Subject:* [CASE:213015] Re: [CASE:213013] Active wallet 6 digit no.
> Dear Carissa
> Thank you for yr prompt reply.
> I went to the Active sg website but could not locate e- wallet to reset
> pin. Hope you can assist. Thanks
> Serene
>
> On Mon, 1 Mar 2021 at 10:43 AM, Active SG Helpdesk 
> wrote:
>
>> Hi
>>
>> Thank you for writing to the ActiveSG technical helpdesk.
>>
>> To reset your eWallet PIN, please follow the steps below.
>>
>> Using Website Only: Login to account > e-Wallet > Change PIN > Reset PIN
>> (kindly ignore the portion that ask you to input your current pin)
>>
>> A new PIN will be sent to the registered email address in your ActiveSG
>> account.
>>
>> ‘ sorry , one of the slots that you selected has already been booked’
>> could be because the slot is currently still in your shopping cart.
>>
>> Hope this clarifies!
>>
>> For technical-related issues, contact us again at +65 65941388 (Mon to
>> Sun, 7am to 10pm) or email: helpme@iappsasia.com. For other enquiries,
>> click here. https://members.myactivesg.com/feedback.
>>
>> Thank you.
>>
>> With Best Regards,
>>
>> Carissa
>>
>> ActiveSG Technical Helpdesk
>>
>> iAPPS Pte Ltd
>>
>> 3 Fusionopolis Way, #13
>> 
>> -24/25
>>
>> Symbiosis, Singapore 138633
>>
>> Helpline: 65941388
>>
>>
>> ------------------------------
>>
>> *From:* sgcc103@gmail.com
>> *Date:* 01-03-2021 10:37am
>> *To:* helpme@iappsasia.com
>> *Subject:* [CASE:213013] Active wallet 6 digit no.
>> Dear Sir
>> I booked for swimming  At Heartbeat Bedok for 3/3 at 10 am. When I
>> reached the payment stage, the system asked for 6 digit code. I cannot
>> remember my 6 digit number. So how can I  apply?
>> I wanted to re- book but system said ‘ sorry , one of the slots that you
>> selected has already been booked’. Does it mean I can go on Wednesday to
>> swim?
>> Regards
>> Serene
>>
>
",Membership
"Hi Dear Sir/Madam,

I have a tennis court booking at Farrer Park tennis Centre court 01 11-12am
on 6th March (my ID:S8776224F). I already paid but cannot go any more.

I called the centre and was told I can just call or write in to cancel for
refund once I decide to cancel.

But I just called in and got told that I cannot cancel.

Is it true? This no cancellation policy is not reasonable at all,
especially am cancelling 5 days before the event. Not allowing users to
cancel would be a waste of my money and also a waste of resources for other
people who can come to play at that time.

Please advise and I hope you can understand my situation and facilitate the
refund.

Many thanks,
Yingtao
",Booking
