,Housing_free,Housing_own,Housing_rent,Purpose_business,Purpose_car,Purpose_domestic appliances,Purpose_education,Purpose_furniture/equipment,Purpose_radio/TV,Purpose_repairs,Purpose_vacation/others,Risk_bad,Risk_good,Age,Job,Saving accounts,Checking account,Credit amount,Duration,Risk
0,0,1,0,0,0,0,0,0,1,0,0,0,1,67,2,0,1,1169,6,1
1,0,1,0,0,0,0,0,0,1,0,0,1,0,22,2,1,2,5951,48,0
2,0,1,0,0,0,0,1,0,0,0,0,0,1,49,1,1,0,2096,12,1
3,1,0,0,0,0,0,0,1,0,0,0,0,1,45,2,1,1,7882,42,1
4,1,0,0,0,1,0,0,0,0,0,0,1,0,53,2,1,1,4870,24,0
5,1,0,0,0,0,0,1,0,0,0,0,0,1,35,1,0,0,9055,36,1
6,0,1,0,0,0,0,0,1,0,0,0,0,1,53,2,3,0,2835,24,1
7,0,0,1,0,1,0,0,0,0,0,0,0,1,35,3,1,2,6948,36,1
8,0,1,0,0,0,0,0,0,1,0,0,0,1,61,1,4,0,3059,12,1
9,0,1,0,0,1,0,0,0,0,0,0,1,0,28,3,1,2,5234,30,0
10,0,0,1,0,1,0,0,0,0,0,0,1,0,25,2,1,2,1295,12,0
11,0,0,1,1,0,0,0,0,0,0,0,1,0,24,2,1,1,4308,48,0
12,0,1,0,0,0,0,0,0,1,0,0,0,1,22,2,1,2,1567,12,1
13,0,1,0,0,1,0,0,0,0,0,0,1,0,60,1,1,1,1199,24,0
14,0,0,1,0,1,0,0,0,0,0,0,0,1,28,2,1,1,1403,15,1
15,0,1,0,0,0,0,0,0,1,0,0,1,0,32,1,2,1,1282,24,0
16,0,1,0,0,0,0,0,0,1,0,0,0,1,53,2,0,0,2424,24,1
17,0,1,0,1,0,0,0,0,0,0,0,0,1,25,2,0,1,8072,30,1
18,1,0,0,0,1,0,0,0,0,0,0,1,0,44,3,1,2,12579,24,0
19,0,1,0,0,0,0,0,0,1,0,0,0,1,31,2,3,0,3430,24,1
20,0,1,0,0,1,0,0,0,0,0,0,0,1,48,2,1,0,2134,9,1
21,0,0,1,0,0,0,0,0,1,0,0,0,1,44,2,3,1,2647,6,1
22,0,0,1,0,1,0,0,0,0,0,0,0,1,48,1,1,1,2241,10,1
23,0,1,0,0,1,0,0,0,0,0,0,0,1,44,2,2,2,1804,12,1
24,0,1,0,0,0,0,0,1,0,0,0,0,1,26,2,0,0,2069,10,1
25,0,1,0,0,0,0,0,1,0,0,0,0,1,36,1,1,1,1374,6,1
26,0,1,0,0,0,0,0,0,1,0,0,0,1,39,1,1,0,426,6,1
27,0,0,1,0,0,0,0,0,1,0,0,0,1,42,2,4,4,409,12,1
28,0,1,0,0,0,0,0,0,1,0,0,0,1,34,2,1,2,2415,7,1
29,0,1,0,1,0,0,0,0,0,0,0,1,0,63,2,1,1,6836,60,0
30,0,1,0,1,0,0,0,0,0,0,0,0,1,36,2,4,2,1913,18,1
31,0,1,0,0,0,0,0,1,0,0,0,0,1,27,2,1,1,4020,24,1
32,0,1,0,0,1,0,0,0,0,0,0,0,1,30,2,2,2,5866,18,1
33,0,0,1,1,0,0,0,0,0,0,0,0,1,57,1,0,0,1264,12,1
34,0,1,0,0,0,0,0,1,0,0,0,0,1,33,3,1,4,1474,12,1
35,0,1,0,0,0,0,0,0,1,0,0,1,0,25,1,1,2,4746,45,0
36,1,0,0,0,0,0,1,0,0,0,0,0,1,31,2,1,0,6110,48,1
37,0,1,0,0,0,0,0,0,1,0,0,1,0,37,2,1,4,2100,18,0
38,0,1,0,0,0,1,0,0,0,0,0,0,1,37,2,1,4,1225,10,1
39,0,1,0,0,0,0,0,0,1,0,0,0,1,24,2,1,2,458,9,1
