Date,Country,No_of_Trx,Total_Amt_Recd,Tot_Comm_Rcvd S$,Tot_Remit_Value S$,Commitment_currency,Commitment Value
1/1/2020,ID,99,32840.89,482.5,32358.39,ID-IDR,332663742
2/1/2020,ID,145,45832.75,706,45131.75,ID-IDR,463687444
3/1/2020,ID,125,43231.98,608,42628.98,ID-IDR,437217542
4/1/2020,ID,104,35321.31,505,34821.31,ID-IDR,357017106
5/1/2020,ID,190,54593.28,931.5,53666.78,ID-IDR,551066866
6/1/2020,ID,140,40944.12,680.5,40268.62,ID-IDR,413276086
7/1/2020,ID,138,40104.76,668.5,39436.26,ID-IDR,404881422
8/1/2020,ID,115,36352.97,556.5,35796.47,ID-IDR,366356852
9/1/2020,ID,86,24117.83,417,23705.83,ID-IDR,242125367
10/1/2020,ID,99,23310.03,479.5,22830.53,ID-IDR,231887358
11/1/2020,ID,78,19206.89,376.5,18830.39,ID-IDR,190798594
12/1/2020,ID,164,43566.46,802,42769.46,ID-IDR,433341465
13/1/2020,ID,146,35619.91,712.5,34907.41,ID-IDR,353529014
14/1/2020,ID,109,26018.13,528.5,25489.63,ID-IDR,257367785
15/1/2020,ID,105,28522.97,507,28020.97,ID-IDR,283095996
16/1/2020,ID,102,28322.1,497.5,27839.6,ID-IDR,281033641
17/1/2020,ID,92,20928.87,451.5,20482.37,ID-IDR,206405080
18/1/2020,ID,74,15872.77,361,15511.77,ID-IDR,156239257
19/1/2020,ID,156,41341.93,761.5,40580.43,ID-IDR,408732288
20/1/2020,ID,130,35462.24,630.5,34831.74,ID-IDR,350813885
21/1/2020,ID,131,32017.22,636.5,31380.72,ID-IDR,315718397
22/1/2020,ID,104,24879.53,504,24375.53,ID-IDR,245282625
23/1/2020,ID,97,24253.65,473,23780.65,ID-IDR,239172011
24/1/2020,ID,72,20934.35,353.5,20580.85,ID-IDR,206385603
25/1/2020,ID,53,11467.25,259,11208.25,ID-IDR,112360045
26/1/2020,ID,120,36808.96,585,36223.96,ID-IDR,362915833
27/1/2020,ID,136,36295.13,663,35632.13,ID-IDR,357209969
28/1/2020,ID,144,36702.52,702,36000.52,ID-IDR,359136536
29/1/2020,ID,118,30749.11,571,30183.11,ID-IDR,301128870
30/1/2020,ID,120,31949.49,586,31367.99,ID-IDR,311909615
31/1/2020,ID,137,35485.07,667.5,34822.07,ID-IDR,346966868
1/2/2020,ID,124,43772.85,605.5,43167.35,ID-IDR,430140915
2/2/2020,ID,189,63182.67,932.5,62255.17,ID-IDR,620395009
3/2/2020,ID,223,75653.24,1075,74588.24,ID-IDR,743646680
